"b","t","m","d","p","t_m","t_d","t_p","m_d","m_p","d_p","t_m_d","t_m_p","t_d_p","m_d_p","t_m_d_p","b_t","b_m","b_d","b_p","b_t_m","b_t_d","b_t_p","b_m_d","b_m_p","b_d_p","b_t_m_d","b_t_m_p","b_t_d_p","b_m_d_p","b_t_m_d_p"
"1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1","1","1","1","-1",1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1
"1","1","1","-1","1",1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1
"1","1","1","-1","-1",1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1
"1","1","-1","1","1",-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1
"1","1","-1","1","-1",-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1
"1","1","-1","-1","1",-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1
"1","1","-1","-1","-1",-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1
"1","-1","1","1","1",-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1
"1","-1","1","1","-1",-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1
"1","-1","1","-1","1",-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1
"1","-1","1","-1","-1",-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1
"1","-1","-1","1","1",1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1
"1","-1","-1","1","-1",1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1
"1","-1","-1","-1","1",1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1
"1","-1","-1","-1","-1",1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1
"2","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2","1","1","1","-1",1,1,-1,1,-1,-1,1,-1,-1,-1,-1,2,2,2,-2,2,2,-2,2,-2,-2,2,-2,-2,-2,-2
"2","1","1","-1","1",1,-1,1,-1,1,-1,-1,1,-1,-1,-1,2,2,-2,2,2,-2,2,-2,2,-2,-2,2,-2,-2,-2
"2","1","1","-1","-1",1,-1,-1,-1,-1,1,-1,-1,1,1,1,2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,2,2,2
"2","1","-1","1","1",-1,1,1,-1,-1,1,-1,-1,1,-1,-1,2,-2,2,2,-2,2,2,-2,-2,2,-2,-2,2,-2,-2
"2","1","-1","1","-1",-1,1,-1,-1,1,-1,-1,1,-1,1,1,2,-2,2,-2,-2,2,-2,-2,2,-2,-2,2,-2,2,2
"2","1","-1","-1","1",-1,-1,1,1,-1,-1,1,-1,-1,1,1,2,-2,-2,2,-2,-2,2,2,-2,-2,2,-2,-2,2,2
"2","1","-1","-1","-1",-1,-1,-1,1,1,1,1,1,1,-1,-1,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2
"2","-1","1","1","1",-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-2,2,2,2,-2,-2,-2,2,2,2,-2,-2,-2,2,-2
"2","-1","1","1","-1",-1,-1,1,1,-1,-1,-1,1,1,-1,1,-2,2,2,-2,-2,-2,2,2,-2,-2,-2,2,2,-2,2
"2","-1","1","-1","1",-1,1,-1,-1,1,-1,1,-1,1,-1,1,-2,2,-2,2,-2,2,-2,-2,2,-2,2,-2,2,-2,2
"2","-1","1","-1","-1",-1,1,1,-1,-1,1,1,1,-1,1,-1,-2,2,-2,-2,-2,2,2,-2,-2,2,2,2,-2,2,-2
"2","-1","-1","1","1",1,-1,-1,-1,-1,1,1,1,-1,-1,1,-2,-2,2,2,2,-2,-2,-2,-2,2,2,2,-2,-2,2
"2","-1","-1","1","-1",1,-1,1,-1,1,-1,1,-1,1,1,-1,-2,-2,2,-2,2,-2,2,-2,2,-2,2,-2,2,2,-2
"2","-1","-1","-1","1",1,1,-1,1,-1,-1,-1,1,1,1,-1,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,2,2,2,-2
"2","-1","-1","-1","-1",1,1,1,1,1,1,-1,-1,-1,-1,1,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2
"3","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"3","1","1","1","-1",1,1,-1,1,-1,-1,1,-1,-1,-1,-1,3,3,3,-3,3,3,-3,3,-3,-3,3,-3,-3,-3,-3
"3","1","1","-1","1",1,-1,1,-1,1,-1,-1,1,-1,-1,-1,3,3,-3,3,3,-3,3,-3,3,-3,-3,3,-3,-3,-3
"3","1","1","-1","-1",1,-1,-1,-1,-1,1,-1,-1,1,1,1,3,3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,3,3,3
"3","1","-1","1","1",-1,1,1,-1,-1,1,-1,-1,1,-1,-1,3,-3,3,3,-3,3,3,-3,-3,3,-3,-3,3,-3,-3
"3","1","-1","1","-1",-1,1,-1,-1,1,-1,-1,1,-1,1,1,3,-3,3,-3,-3,3,-3,-3,3,-3,-3,3,-3,3,3
"3","1","-1","-1","1",-1,-1,1,1,-1,-1,1,-1,-1,1,1,3,-3,-3,3,-3,-3,3,3,-3,-3,3,-3,-3,3,3
"3","1","-1","-1","-1",-1,-1,-1,1,1,1,1,1,1,-1,-1,3,-3,-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,-3
"3","-1","1","1","1",-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-3,3,3,3,-3,-3,-3,3,3,3,-3,-3,-3,3,-3
"3","-1","1","1","-1",-1,-1,1,1,-1,-1,-1,1,1,-1,1,-3,3,3,-3,-3,-3,3,3,-3,-3,-3,3,3,-3,3
"3","-1","1","-1","1",-1,1,-1,-1,1,-1,1,-1,1,-1,1,-3,3,-3,3,-3,3,-3,-3,3,-3,3,-3,3,-3,3
"3","-1","1","-1","-1",-1,1,1,-1,-1,1,1,1,-1,1,-1,-3,3,-3,-3,-3,3,3,-3,-3,3,3,3,-3,3,-3
"3","-1","-1","1","1",1,-1,-1,-1,-1,1,1,1,-1,-1,1,-3,-3,3,3,3,-3,-3,-3,-3,3,3,3,-3,-3,3
"3","-1","-1","1","-1",1,-1,1,-1,1,-1,1,-1,1,1,-1,-3,-3,3,-3,3,-3,3,-3,3,-3,3,-3,3,3,-3
"3","-1","-1","-1","1",1,1,-1,1,-1,-1,-1,1,1,1,-1,-3,-3,-3,3,3,3,-3,3,-3,-3,-3,3,3,3,-3
"3","-1","-1","-1","-1",1,1,1,1,1,1,-1,-1,-1,-1,1,-3,-3,-3,-3,3,3,3,3,3,3,-3,-3,-3,-3,3
